MODEL,REGION,SCENARIO,VARIABLE,YEAR,NOTE
,,,"Diagnostics|MAGICC6|Forcing|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Other",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Temperature|Global Mean",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
"IMAGE",,"SPA3",,,"<p><p>Only lower carbon tax assumend for non-CO2 land-use categories</p></p>"
"IMAGE",,"SSP1-Ref-SPA0-V12_na",,,"<p>forthcoming soon.</p>"
"IMAGE",,"SPA2",,,"<p><p>No land use related carbon price changes assumed</p></p>"
"IMAGE",,"SSP1-45-SPA1-V12_na",,,"<p>forthcoming soon.</p>"
"IMAGE",,"SSP1-34-SPA1-V12_na",,,"<p>forthcoming soon.</p>"
"IMAGE",,"SSP1-26-SPA1-V12_na",,,"<p>forthcoming soon.</p>"
,,,"Diagnostics|MAGICC6|Concentration|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Aerosol",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|F-Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Kyoto Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Other",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Temperature|Global Mean",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Aerosol",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|F-Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Kyoto Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Other",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Temperature|Global Mean",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
"AIM/CGE",,,"Secondary Energy|Electricity",,"<p>Including Heat</p>"
"AIM/CGE",,,"Secondary Energy|Electricity|Biomass",,"<p>Including Heat</p>"
"AIM/CGE",,,"Secondary Energy|Electricity|Coal",,"<p>Including Heat</p>"
"AIM/CGE",,,"Secondary Energy|Electricity|Gas",,"<p>Including Heat</p>"
"AIM/CGE",,,"Secondary Energy|Electricity|Non-Biomass Renewables",,"<p>Including Heat</p>"
"AIM/CGE",,,"Secondary Energy|Electricity|Nuclear",,"<p>Including Heat</p>"
"AIM/CGE",,,"Secondary Energy|Electricity|Oil",,"<p>Including Heat</p>"
"AIM/CGE",,,"Secondary Energy|Electricity|Other",,"<p>Including Heat</p>"
,,,"Diagnostics|MAGICC6|Concentration|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Aerosol",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|F-Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Kyoto Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Other",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Temperature|Global Mean",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Aerosol",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|F-Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Kyoto Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Other",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Temperature|Global Mean",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Aerosol",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|F-Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Kyoto Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Other",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Temperature|Global Mean",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Concentration|N2O",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Aerosol",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CH4",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|CO2",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|F-Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
,,,"Diagnostics|MAGICC6|Forcing|Kyoto Gases",,"<p><p><p><p><p><p><p><p><p><p><p>Note that climate results are based on MAGICC 6.8 and harmonized base year emissions across models/SSPs</p></p></p></p></p></p></p></p></p></p></p>"
